t/c = 0.05
Thickness = 3 mm
flapping amplitude = 160 degree
Medium_or_frequency = 1
Re, aspect_ratio, root_offset, r1_h_design, r1_hat, r2_hat, r3_hat, R (mm), R_total (mm), flapping_frequency (Hz), kinematic_viscosity (m^2/s), S (m^2), ref_vel_Ur2 (m/s), max.force (N), max.moment (Nmm)
100, 3.0, 0.1, 0.5, 0.545422872764219, 0.5910950652376716, 0.62759008629953, 180.0, 197.99999999999997, 1, 0.00035647878896931796, 0.010798141499912605, 0.5942335726476315, 0.011852921393382492, 1.3389796728314034
100, 3.0, 0.1, 0.55, 0.5895321987789012, 0.6287316581431103, 0.6600911351093786, 180.0, 197.99999999999997, 1, 0.0003802090437241217, 0.010827539288797558, 0.6320700026565518, 0.013097752010155422, 1.5562277985176347
100, 3.0, 0.1, 0.6, 0.6309363015198461, 0.6637110501432105, 0.6898589911004566, 180.0, 197.99999999999997, 1, 0.0004045332146271281, 0.010913091371799313, 0.6672351229556085, 0.01441927884267019, 1.790508447864111
100, 3.0, 0.2, 0.4, 0.5007400691693268, 0.5442226794402175, 0.581928160184997, 180.0, 216.0, 1, 0.00032751162840341774, 0.010775135549910792, 0.5471123109268288, 0.010407007620998712, 1.0901035436254243
100, 3.0, 0.2, 0.45, 0.5418805565056616, 0.5823494427547359, 0.616809055000801, 180.0, 216.0, 1, 0.00035100722844414194, 0.010792077365792952, 0.585441513977724, 0.011573588115058514, 1.2849649106791936
100, 3.0, 0.2, 0.5, 0.5833043000338672, 0.6195647089487305, 0.6501299209483165, 180.0, 216.0, 1, 0.00037364831838913393, 0.010798141499912609, 0.6228543801781855, 0.012751048294656122, 1.4921708435663308
100, 3.0, 0.2, 0.55, 0.6237378488806595, 0.6551157214635474, 0.6814266391429253, 180.0, 216.0, 1, 0.0003961641166947542, 0.010827539288797558, 0.6585941560963383, 0.01396892769450994, 1.7133839012340792
100, 3.0, 0.2, 0.6, 0.6616916097265256, 0.6881062678416314, 0.7100895866715321, 180.0, 216.0, 1, 0.0004194021486835092, 0.010913091371799315, 0.691759870700915, 0.015264014087448876, 1.9509871417749027
100, 4.0, 0.0, 0.4, 0.4008880830031921, 0.4755434307561532, 0.5298323167330942, 240.0, 240.0, 1, 0.0003815742079294812, 0.014366847399881059, 0.6374245327046046, 0.017572534347462913, 2.2345191802051554
100, 4.0, 0.0, 0.45, 0.4502566678067939, 0.5179245028802987, 0.5672510388886924, 240.0, 240.0, 1, 0.0004162340362500393, 0.014389436487723936, 0.6942326670348339, 0.02014656857204688, 2.7427588686086093
100, 4.0, 0.0, 0.5, 0.4999651600406408, 0.559261077790461, 0.6029273829085976, 240.0, 240.0, 1, 0.0004497070459064136, 0.014397521999883478, 0.749640743861428, 0.02278843331602321, 3.2975449103560726
100, 4.0, 0.0, 0.55, 0.5484854186567915, 0.5988490200291035, 0.6364246490102272, 240.0, 240.0, 1, 0.00048285106540330995, 0.014436719051730077, 0.802704930958028, 0.02553976101134954, 3.9009920249887715
100, 4.0, 0.0, 0.6, 0.5940299316718308, 0.6357782372377179, 0.6671134287358721, 240.0, 240.0, 1, 0.0005166774789405675, 0.01455078849573242, 0.8522053288184674, 0.02845468803562266, 4.555801079772919
