
wing_chord = 1.0 (m)
stroke_time = 0.96 (m)
pitch_acc_time_fraction = 0.5
Re, stroke_dist, acc_time_fraction, pitch_time_fraction, pitch_angle, acc_t (s), steady_t (s), pitch_t (s), nu (m^2/s), acc (m/s^2), pitch_acc (deg/s^2), steady_velocity (m/s), acc_dist (chords), steady_dist (chords), pitch_dist (chords), c_U (s)
1000.0, 7.0, 0.25, 0.25, 90.0, 0.12, 0.72, 0.24, 0.008333333333333333, 69.44444444444446, 8333.333333333334, 8.333333333333334, 0.5, 6.0, 1.5, 0.12
1000.0, 7.0, 0.25, 0.5, 90.0, 0.12, 0.72, 0.48, 0.008333333333333333, 69.44444444444446, 2083.3333333333335, 8.333333333333334, 0.5, 6.0, 3.5, 0.12
1000.0, 7.0, 0.5, 0.125, 90.0, 0.24, 0.48, 0.12, 0.009722222222222222, 40.50925925925927, 33333.333333333336, 9.722222222222223, 1.1666666666666667, 4.666666666666667, 0.2916666666666667, 0.10285714285714284
1000.0, 7.0, 0.5, 0.25, 90.0, 0.24, 0.48, 0.24, 0.009722222222222222, 40.50925925925927, 8333.333333333334, 9.722222222222223, 1.1666666666666667, 4.666666666666667, 1.1666666666666667, 0.10285714285714284
1000.0, 7.0, 0.5, 0.5, 90.0, 0.24, 0.48, 0.48, 0.009722222222222222, 40.50925925925927, 2083.3333333333335, 9.722222222222223, 1.1666666666666667, 4.666666666666667, 3.5, 0.10285714285714284
1000.0, 9.0, 0.125, 0.125, 90.0, 0.06, 0.84, 0.12, 0.010000000000000002, 166.6666666666667, 33333.333333333336, 10.000000000000002, 0.30000000000000004, 8.4, 0.9000000000000001, 0.09999999999999998
1000.0, 9.0, 0.125, 0.25, 90.0, 0.06, 0.84, 0.24, 0.010000000000000002, 166.6666666666667, 8333.333333333334, 10.000000000000002, 0.30000000000000004, 8.4, 2.1000000000000005, 0.09999999999999998
1000.0, 9.0, 0.125, 0.5, 90.0, 0.06, 0.84, 0.48, 0.010000000000000002, 166.6666666666667, 2083.3333333333335, 10.000000000000002, 0.30000000000000004, 8.4, 4.5, 0.09999999999999998
1000.0, 9.0, 0.25, 0.125, 90.0, 0.12, 0.72, 0.12, 0.010714285714285716, 89.28571428571429, 33333.333333333336, 10.714285714285715, 0.6428571428571429, 7.714285714285714, 0.6428571428571429, 0.09333333333333332
1000.0, 9.0, 0.25, 0.25, 90.0, 0.12, 0.72, 0.24, 0.010714285714285716, 89.28571428571429, 8333.333333333334, 10.714285714285715, 0.6428571428571429, 7.714285714285714, 1.9285714285714288, 0.09333333333333332
1000.0, 9.0, 0.25, 0.5, 90.0, 0.12, 0.72, 0.48, 0.010714285714285716, 89.28571428571429, 2083.3333333333335, 10.714285714285715, 0.6428571428571429, 7.714285714285714, 4.5, 0.09333333333333332
1000.0, 9.0, 0.5, 0.125, 90.0, 0.24, 0.48, 0.12, 0.0125, 52.083333333333336, 33333.333333333336, 12.5, 1.5, 6.0, 0.375, 0.08
1000.0, 9.0, 0.5, 0.25, 90.0, 0.24, 0.48, 0.24, 0.0125, 52.083333333333336, 8333.333333333334, 12.5, 1.5, 6.0, 1.5, 0.08
1000.0, 9.0, 0.5, 0.5, 90.0, 0.24, 0.48, 0.48, 0.0125, 52.083333333333336, 2083.3333333333335, 12.5, 1.5, 6.0, 4.5, 0.08
